value,   feasible,   frequency, time, iteration
372,False,1,48.78796887397766,0
1518,False,1,48.78796887397766,0
494,False,15,48.78796887397766,0
990,False,2,48.78796887397766,0
868,False,1,48.78796887397766,0
742,False,1,48.78796887397766,0
824,True,1,48.78796887397766,0
282,False,46,48.78796887397766,0
778,False,2,48.78796887397766,0
406,False,2,48.78796887397766,0
0,False,1,48.78796887397766,0
496,False,1,48.78796887397766,0
706,False,4,48.78796887397766,0
812,False,1,48.78796887397766,0
706,False,1,48.78796887397766,0
636,False,1,48.78796887397766,0
388,False,7,48.78796887397766,0
1104,False,1,48.78796887397766,0
1424,False,1,48.78796887397766,0
0,False,1,48.78796887397766,0
812,False,1,48.78796887397766,0
212,False,5,48.78796887397766,0
644,False,1,48.78796887397766,0
2220,False,1,48.78796887397766,0
388,False,2,48.78796887397766,0
1072,False,3,48.78796887397766,0
330,False,2,48.78796887397766,0
1496,False,2,48.78796887397766,0
330,False,9,48.78796887397766,0
614,False,18,48.78796887397766,0
1044,False,6,48.78796887397766,0
1760,False,9,48.78796887397766,0
824,True,498,48.78796887397766,0
1540,False,45,48.78796887397766,0
1970,False,13,48.78796887397766,0
1108,False,5,48.78796887397766,0
2254,False,1,48.78796887397766,0
330,False,24,48.78796887397766,0
1046,False,3,48.78796887397766,0
1916,False,1,48.78796887397766,0
1110,False,1,48.78796887397766,0
1980,False,1,48.78796887397766,0
1248,False,26,48.78796887397766,0
2028,False,2,48.78796887397766,0
1248,False,1,48.78796887397766,0
1672,False,4,48.78796887397766,0
648,False,4,48.78796887397766,0
1292,False,2,48.78796887397766,0
1110,False,1,48.78796887397766,0
2728,False,1,48.78796887397766,0
1072,False,11,48.78796887397766,0
1496,False,2,48.78796887397766,0
2580,False,1,48.78796887397766,0
2784,False,1,48.78796887397766,0
824,False,15,48.78796887397766,0
330,False,2,48.78796887397766,0
2204,False,1,48.78796887397766,0
494,False,13,48.78796887397766,0
1320,False,2,48.78796887397766,0
918,False,1,48.78796887397766,0
318,False,1,48.78796887397766,0
494,False,4,48.78796887397766,0
1950,False,1,48.78796887397766,0
930,False,8,48.78796887397766,0
1756,False,1,48.78796887397766,0
1006,False,1,48.78796887397766,0
282,False,2,48.78796887397766,0
1208,False,1,48.78796887397766,0
1364,False,1,48.78796887397766,0
240,False,1,48.78796887397766,0
778,False,3,48.78796887397766,0
778,False,1,48.78796887397766,0
1884,False,1,48.78796887397766,0
2394,False,1,48.78796887397766,0
1214,False,7,48.78796887397766,0
966,False,2,48.78796887397766,0
976,False,1,48.78796887397766,0
1512,False,1,48.78796887397766,0
1142,False,46,48.78796887397766,0
1964,False,6,48.78796887397766,0
2500,False,3,48.78796887397766,0
648,False,3,48.78796887397766,0
1566,False,2,48.78796887397766,0
1142,False,4,48.78796887397766,0
1248,False,1,48.78796887397766,0
282,False,1,48.78796887397766,0
1344,False,1,48.78796887397766,0
1296,False,1,48.78796887397766,0
1512,False,1,48.78796887397766,0
1036,False,7,48.78796887397766,0
1752,False,1,48.78796887397766,0
860,False,1,48.78796887397766,0
1692,False,1,48.78796887397766,0
1920,False,1,48.78796887397766,0
1672,False,22,48.78796887397766,0
2494,False,1,48.78796887397766,0
1920,False,2,48.78796887397766,0
1672,False,1,48.78796887397766,0
2108,False,1,48.78796887397766,0
388,False,1,48.78796887397766,0
2576,False,1,48.78796887397766,0
2154,False,1,48.78796887397766,0
2328,False,14,48.78796887397766,0
2752,False,1,48.78796887397766,0
2752,False,1,48.78796887397766,0
2328,False,1,48.78796887397766,0
2328,False,1,48.78796887397766,0
2764,False,2,48.78796887397766,0
742,False,1,48.78796887397766,0
176,False,3,48.78796887397766,0
0,False,1,48.78796887397766,0
282,False,1,48.78796887397766,0
1142,False,5,48.78796887397766,0
2070,False,1,48.78796887397766,0
3526,False,1,48.78796887397766,0
1390,False,1,48.78796887397766,0
1814,False,1,48.78796887397766,0
2216,False,1,48.78796887397766,0
1460,False,2,48.78796887397766,0
1990,False,1,48.78796887397766,0
1814,False,1,48.78796887397766,0
1060,False,1,48.78796887397766,0
1602,False,1,48.78796887397766,0
2052,False,1,48.78796887397766,0
1692,False,1,48.78796887397766,0
494,False,2,47.67251920700073,1
282,False,2,47.67251920700073,1
824,True,1007,47.67251920700073,1
1248,False,1,47.67251920700073,1
648,False,1,47.67251920700073,1
494,False,1,47.67251920700073,1
318,False,2,47.67251920700073,1
494,False,1,47.67251920700073,1
930,False,2,47.67251920700073,1
778,False,2,47.67251920700073,1
1142,False,1,47.67251920700073,1
1404,False,1,47.67251920700073,1
1272,False,1,47.67251920700073,1
372,False,1,43.14811038970947,2
494,False,1,43.14811038970947,2
282,False,2,43.14811038970947,2
824,True,1007,43.14811038970947,2
1248,False,1,43.14811038970947,2
648,False,1,43.14811038970947,2
494,False,1,43.14811038970947,2
318,False,2,43.14811038970947,2
494,False,1,43.14811038970947,2
