value,   feasible,   frequency, time, iteration
220,False,1,1951.4977054595947,0
248,False,1,1951.4977054595947,0
1100,False,1,1951.4977054595947,0
424,False,1,1951.4977054595947,0
1508,False,1,1951.4977054595947,0
424,False,1,1951.4977054595947,0
3136,False,1,1951.4977054595947,0
0,False,1,1951.4977054595947,0
0,False,1,1951.4977054595947,0
0,False,1,1951.4977054595947,0
2228,False,1,1951.4977054595947,0
1074,False,1,1951.4977054595947,0
920,False,1,1951.4977054595947,0
1330,False,1,1951.4977054595947,0
1072,False,1,1951.4977054595947,0
1734,False,1,1951.4977054595947,0
0,False,1,1951.4977054595947,0
1222,False,1,1951.4977054595947,0
550,False,1,1951.4977054595947,0
990,False,1,1951.4977054595947,0
1100,False,1,1951.4977054595947,0
330,False,1,1951.4977054595947,0
330,False,1,1951.4977054595947,0
1420,False,1,1951.4977054595947,0
2032,False,1,1951.4977054595947,0
3898,False,1,1951.4977054595947,0
330,False,1,1951.4977054595947,0
1778,False,1,1951.4977054595947,0
372,False,1,1951.4977054595947,0
372,False,1,1951.4977054595947,0
1436,False,1,1951.4977054595947,0
1840,False,1,1951.4977054595947,0
372,False,1,1951.4977054595947,0
372,False,1,1951.4977054595947,0
1364,False,1,1951.4977054595947,0
1222,False,1,1951.4977054595947,0
1364,False,1,1951.4977054595947,0
992,False,1,1951.4977054595947,0
2410,False,1,1951.4977054595947,0
734,False,1,1951.4977054595947,0
1582,False,1,1951.4977054595947,0
1442,False,1,1951.4977054595947,0
1526,False,1,1951.4977054595947,0
2524,False,1,1951.4977054595947,0
4174,False,1,1951.4977054595947,0
870,False,1,1951.4977054595947,0
702,False,1,1951.4977054595947,0
1976,False,1,1951.4977054595947,0
3010,False,2,1951.4977054595947,0
4574,False,1,1951.4977054595947,0
610,False,1,1951.4977054595947,0
1972,False,1,1951.4977054595947,0
1378,False,1,1951.4977054595947,0
1404,False,1,1951.4977054595947,0
2792,False,1,1951.4977054595947,0
864,False,1,1951.4977054595947,0
920,False,1,1951.4977054595947,0
1178,False,1,1951.4977054595947,0
2030,False,1,1951.4977054595947,0
2090,False,1,1951.4977054595947,0
648,False,1,1951.4977054595947,0
648,False,1,1951.4977054595947,0
2156,False,1,1951.4977054595947,0
1340,False,1,1951.4977054595947,0
2718,False,1,1951.4977054595947,0
1288,False,1,1951.4977054595947,0
1692,False,1,1951.4977054595947,0
2278,False,1,1951.4977054595947,0
1304,False,1,1951.4977054595947,0
2136,False,1,1951.4977054595947,0
2324,False,1,1951.4977054595947,0
1654,False,1,1951.4977054595947,0
690,False,1,1951.4977054595947,0
3064,False,1,1951.4977054595947,0
4394,False,1,1951.4977054595947,0
1476,False,1,1951.4977054595947,0
1652,False,1,1951.4977054595947,0
1922,False,1,1951.4977054595947,0
1840,False,1,1951.4977054595947,0
1950,False,1,1951.4977054595947,0
2802,False,1,1951.4977054595947,0
1866,False,2,1951.4977054595947,0
1930,False,1,1951.4977054595947,0
2570,False,1,1951.4977054595947,0
3588,False,1,1951.4977054595947,0
1020,False,1,1951.4977054595947,0
3116,False,1,1951.4977054595947,0
3112,False,1,1951.4977054595947,0
1784,False,1,1951.4977054595947,0
1020,False,1,1951.4977054595947,0
4420,False,1,1951.4977054595947,0
0,False,1,1951.4977054595947,0
856,False,1,1951.4977054595947,0
1476,False,1,1951.4977054595947,0
0,False,1,1951.4977054595947,0
760,False,1,1951.4977054595947,0
864,False,1,1951.4977054595947,0
1080,False,1,1951.4977054595947,0
1184,False,1,1951.4977054595947,0
3136,False,1,1951.4977054595947,0
330,False,1,1951.4977054595947,0
330,False,1,1951.4977054595947,0
934,False,1,1951.4977054595947,0
1414,False,1,1951.4977054595947,0
330,False,1,1951.4977054595947,0
1470,False,1,1951.4977054595947,0
0,False,1,1951.4977054595947,0
330,False,1,1951.4977054595947,0
770,False,1,1951.4977054595947,0
440,False,1,1951.4977054595947,0
424,False,1,1951.4977054595947,0
1520,False,1,1951.4977054595947,0
2096,False,1,1951.4977054595947,0
1936,False,1,1951.4977054595947,0
2496,False,1,1951.4977054595947,0
2336,False,1,1951.4977054595947,0
1410,False,1,1951.4977054595947,0
3056,False,1,1951.4977054595947,0
1624,False,1,1951.4977054595947,0
2900,False,1,1951.4977054595947,0
570,False,1,1951.4977054595947,0
570,False,1,1951.4977054595947,0
0,False,1,1951.4977054595947,0
1950,False,1,1951.4977054595947,0
1654,False,1,1951.4977054595947,0
976,False,1,1951.4977054595947,0
2790,False,1,1951.4977054595947,0
1124,False,1,1951.4977054595947,0
2380,False,2,1951.4977054595947,0
2588,False,1,1951.4977054595947,0
1724,False,1,1951.4977054595947,0
2660,False,1,1951.4977054595947,0
570,False,1,1951.4977054595947,0
318,False,1,1951.4977054595947,0
1554,False,1,1951.4977054595947,0
1168,False,1,1951.4977054595947,0
1130,False,1,1951.4977054595947,0
318,False,1,1951.4977054595947,0
864,False,1,1951.4977054595947,0
4214,False,1,1951.4977054595947,0
1840,False,1,1951.4977054595947,0
318,False,1,1951.4977054595947,0
1674,False,1,1951.4977054595947,0
318,False,1,1951.4977054595947,0
3744,False,1,1951.4977054595947,0
1072,False,1,1951.4977054595947,0
3492,False,1,1951.4977054595947,0
2556,False,1,1951.4977054595947,0
2588,False,1,1951.4977054595947,0
648,False,1,1951.4977054595947,0
1728,False,1,1951.4977054595947,0
744,False,1,1951.4977054595947,0
2450,False,1,1951.4977054595947,0
558,False,1,1951.4977054595947,0
558,False,1,1951.4977054595947,0
5222,False,1,1951.4977054595947,0
2368,False,1,1951.4977054595947,0
1488,False,1,1951.4977054595947,0
1184,False,1,1951.4977054595947,0
1624,False,1,1951.4977054595947,0
2048,False,1,1951.4977054595947,0
4682,False,1,1951.4977054595947,0
2698,False,1,1951.4977054595947,0
1184,False,1,1951.4977054595947,0
1064,False,1,1951.4977054595947,0
1018,False,1,1951.4977054595947,0
3284,False,1,1951.4977054595947,0
1982,False,1,1951.4977054595947,0
558,False,1,1951.4977054595947,0
0,False,1,1951.4977054595947,0
3204,False,1,1951.4977054595947,0
888,False,1,1951.4977054595947,0
3012,False,1,1951.4977054595947,0
1130,False,1,1951.4977054595947,0
1872,False,1,1951.4977054595947,0
888,False,1,1951.4977054595947,0
888,False,1,1951.4977054595947,0
3448,False,1,1951.4977054595947,0
888,False,1,1951.4977054595947,0
4288,False,1,1951.4977054595947,0
1784,False,1,1951.4977054595947,0
1388,False,1,1951.4977054595947,0
660,False,1,1951.4977054595947,0
2496,False,1,1951.4977054595947,0
0,False,1,1951.4977054595947,0
0,False,1,1951.4977054595947,0
644,False,1,1951.4977054595947,0
1140,False,1,1951.4977054595947,0
330,False,1,1951.4977054595947,0
1182,False,1,1951.4977054595947,0
330,False,1,1951.4977054595947,0
1854,False,1,1951.4977054595947,0
1038,False,1,1951.4977054595947,0
0,False,1,1951.4977054595947,0
330,False,1,1951.4977054595947,0
1596,False,1,1951.4977054595947,0
2424,False,2,1951.4977054595947,0
2490,False,1,1951.4977054595947,0
1430,False,1,1951.4977054595947,0
660,False,1,1951.4977054595947,0
2828,False,1,1951.4977054595947,0
4942,False,1,1951.4977054595947,0
660,False,1,1951.4977054595947,0
956,False,1,1951.4977054595947,0
912,False,1,1951.4977054595947,0
2284,False,1,1951.4977054595947,0
3328,False,1,1951.4977054595947,0
612,False,1,1951.4977054595947,0
2560,False,1,1951.4977054595947,0
1940,False,1,1951.4977054595947,0
2224,False,1,1951.4977054595947,0
4110,False,1,1951.4977054595947,0
4240,False,1,1951.4977054595947,0
1242,False,1,1951.4977054595947,0
1682,False,1,1951.4977054595947,0
942,False,1,1951.4977054595947,0
3936,False,1,1951.4977054595947,0
2376,False,1,1951.4977054595947,0
2122,False,2,1951.4977054595947,0
3594,False,1,1951.4977054595947,0
1272,False,1,1951.4977054595947,0
4146,False,1,1951.4977054595947,0
2866,False,1,1951.4977054595947,0
2976,False,1,1951.4977054595947,0
1728,False,1,1951.4977054595947,0
1584,False,2,1951.4977054595947,0
1402,False,1,1951.4977054595947,0
636,False,1,1951.4977054595947,0
1904,False,1,1951.4977054595947,0
636,False,1,1951.4977054595947,0
1898,False,1,1951.4977054595947,0
3552,False,1,1951.4977054595947,0
2730,False,1,1951.4977054595947,0
966,False,1,1951.4977054595947,0
2038,False,1,1951.4977054595947,0
3868,False,1,1951.4977054595947,0
1842,False,1,1951.4977054595947,0
2534,False,1,1951.4977054595947,0
2464,False,1,1951.4977054595947,0
1732,False,1,1951.4977054595947,0
3122,False,1,1951.4977054595947,0
1818,False,1,1951.4977054595947,0
2430,False,1,1951.4977054595947,0
966,False,1,1951.4977054595947,0
2036,False,1,1951.4977054595947,0
1994,False,1,1951.4977054595947,0
