value,   feasible,   frequency, time, iteration
0,False,4,47.80312919616699,0
0,False,1,47.80312919616699,0
7790,False,1,47.80312919616699,0
1722,False,2,47.80312919616699,0
14486,False,1,47.80312919616699,0
17090,False,1,47.80312919616699,0
0,False,2,47.80312919616699,0
1974,False,4,47.80312919616699,0
8930,False,1,47.80312919616699,0
1974,False,2,47.80312919616699,0
14738,False,1,47.80312919616699,0
23668,False,1,47.80312919616699,0
4326,False,1,47.80312919616699,0
12992,False,1,47.80312919616699,0
22906,False,10,47.80312919616699,0
24298,False,2,47.80312919616699,0
17342,False,4,47.80312919616699,0
0,False,3,47.80312919616699,0
8446,False,10,47.80312919616699,0
7790,False,1,47.80312919616699,0
15580,False,3,47.80312919616699,0
16236,False,10,47.80312919616699,0
18430,False,3,47.80312919616699,0
20070,False,1,47.80312919616699,0
19570,False,1,47.80312919616699,0
29000,False,8,47.80312919616699,0
36790,False,1,47.80312919616699,0
252,False,1,47.80312919616699,0
39892,False,2,47.80312919616699,0
40132,False,1,47.80312919616699,0
1722,False,2,47.80312919616699,0
1722,False,1,47.80312919616699,0
3444,False,5,47.80312919616699,0
22686,False,1,47.80312919616699,0
25392,False,1,47.80312919616699,0
984,False,2,47.80312919616699,0
984,False,1,47.80312919616699,0
41166,False,1,47.80312919616699,0
30600,False,6,47.80312919616699,0
47238,False,2,47.80312919616699,0
1392,False,1,47.80312919616699,0
8446,False,10,47.80312919616699,0
9512,False,2,47.80312919616699,0
17958,False,9,47.80312919616699,0
34338,False,2,47.80312919616699,0
39906,False,10,47.80312919616699,0
54420,False,1,47.80312919616699,0
2376,False,7,47.80312919616699,0
3360,False,1,47.80312919616699,0
50930,False,1,47.80312919616699,0
55256,False,1,47.80312919616699,0
0,False,45,47.80312919616699,0
252,False,2,47.80312919616699,0
1140,False,1,47.80312919616699,0
252,False,1,47.80312919616699,0
1140,False,1,47.80312919616699,0
2376,False,2,47.80312919616699,0
0,False,3,47.80312919616699,0
2124,False,1,47.80312919616699,0
504,False,1,47.80312919616699,0
0,False,2,47.80312919616699,0
2124,False,7,47.80312919616699,0
1392,False,4,47.80312919616699,0
2628,False,36,47.80312919616699,0
4752,False,2,47.80312919616699,0
0,False,8,47.80312919616699,0
6724,False,1,47.80312919616699,0
7790,False,2,47.80312919616699,0
14514,False,2,47.80312919616699,0
0,False,20,47.80312919616699,0
0,False,93,47.80312919616699,0
17616,True,2,47.80312919616699,0
19570,False,1,47.80312919616699,0
25406,False,1,47.80312919616699,0
0,False,3,47.80312919616699,0
19824,False,1,47.80312919616699,0
26800,False,3,47.80312919616699,0
29990,False,1,47.80312919616699,0
19824,False,2,47.80312919616699,0
21948,False,15,47.80312919616699,0
29908,False,1,47.80312919616699,0
29006,False,8,47.80312919616699,0
31130,False,1,47.80312919616699,0
36966,False,19,47.80312919616699,0
39090,False,1,47.80312919616699,0
0,False,1,47.80312919616699,0
0,False,4,47.80312919616699,0
6724,False,2,47.80312919616699,0
0,False,36,47.80312919616699,0
6724,False,7,47.80312919616699,0
1722,False,4,47.80312919616699,0
8446,False,15,47.80312919616699,0
1722,False,50,47.80312919616699,0
9184,False,2,47.80312919616699,0
15908,False,23,47.80312919616699,0
10168,False,2,47.80312919616699,0
16892,False,4,47.80312919616699,0
12046,True,7,47.80312919616699,0
13030,False,52,47.80312919616699,0
19754,False,10,47.80312919616699,0
0,False,24,47.80312919616699,0
0,False,1,47.80312919616699,0
9682,False,1,47.80312919616699,0
1974,False,2,47.80312919616699,0
984,False,2,47.80312919616699,0
2604,False,4,47.80312919616699,0
4326,False,2,47.80312919616699,0
15634,False,1,47.80312919616699,0
984,False,2,47.80312919616699,0
20384,False,3,47.80312919616699,0
21620,False,1,47.80312919616699,0
14650,False,1,47.80312919616699,0
15886,False,13,47.80312919616699,0
24734,False,4,47.80312919616699,0
1140,False,11,47.80312919616699,0
6724,False,1,47.80312919616699,0
6724,False,13,47.80312919616699,0
9512,False,1,47.80312919616699,0
16236,False,2,47.80312919616699,0
16236,False,13,47.80312919616699,0
22960,False,1,47.80312919616699,0
